student,professor,score,matched_role,student_role
Maria Carroll,Nicole Payne,0.0,['TA'],RA
Angela Salazar,Beth Taylor,0.0,"['RA', 'Grader']",TA
Scott Summers,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Scott Summers,Nicole Payne,0.0,['TA'],Grader
Richard Butler,Michael Matthews,0.0,['Grader'],RA
Richard Butler,Ashley Washington,0.0,['TA'],RA
Amanda Jackson,Christopher Smith,0.0,"['RA', 'TA']",Grader
Alfred Estrada,Nicole Payne,0.0,['TA'],RA
Alfred Estrada,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
David Brock,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
David Brock,Nicole Payne,0.0,['TA'],Grader
James Hawkins,Nicole Payne,0.0,['TA'],RA
Caitlyn Nelson,Michael Matthews,0.0,['Grader'],TA
Caitlyn Nelson,Beth Taylor,0.0,"['RA', 'Grader']",TA
Lisa Mills,Nicole Payne,0.0,['TA'],RA
James Hawkins,Ashley Washington,0.0,['TA'],RA
James Hawkins,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
James Hawkins,Jessica Wood,0.0,"['TA', 'Grader']",RA
James Hawkins,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Alex Sloan,Nicole Payne,0.0,['TA'],RA
Dr. Kim Cohen,Beth Taylor,0.0,"['RA', 'Grader']",TA
Vickie Moran,Nicole Payne,0.0,['TA'],RA
Vickie Moran,Michael Matthews,0.0,['Grader'],RA
Richard Butler,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Richard Butler,Steven Parker,0.0,"['Grader', 'TA']",RA
Austin Landry DDS,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Austin Landry DDS,Nicole Payne,0.0,['TA'],Grader
Clinton Howard,Beth Taylor,0.0,"['RA', 'Grader']",TA
Brandon Perez,Beth Taylor,0.0,"['RA', 'Grader']",TA
Renee Walker,Nicole Payne,0.0,['TA'],RA
Renee Walker,Michael Matthews,0.0,['Grader'],RA
Renee Walker,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
Renee Walker,Jessica Wood,0.0,"['TA', 'Grader']",RA
Renee Walker,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Renee Walker,Steven Parker,0.0,"['Grader', 'TA']",RA
Richard Butler,Nicole Payne,0.0,['TA'],RA
Charles Jackson,Christopher Smith,0.0,"['RA', 'TA']",Grader
Charles Jackson,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Charles Jackson,Nicole Payne,0.0,['TA'],Grader
Charles Jackson,Ashley Washington,0.0,['TA'],Grader
Samuel Diaz,Christopher Smith,0.0,"['RA', 'TA']",Grader
Jesse Ruiz,Nicole Payne,0.0,['TA'],RA
Jesse Ruiz,Michael Matthews,0.0,['Grader'],RA
Jesse Ruiz,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Alex Sloan,Michael Matthews,0.0,['Grader'],RA
Alex Sloan,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
Alex Sloan,Jessica Wood,0.0,"['TA', 'Grader']",RA
Alex Sloan,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Angela Johnson,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Laura Moore,Beth Taylor,0.0,"['RA', 'Grader']",TA
Alex Sloan,Steven Parker,0.0,"['Grader', 'TA']",RA
Dr. Kim Cohen,Michael Matthews,0.0,['Grader'],TA
Chelsea Becker,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
Chelsea Becker,Jessica Wood,0.0,"['TA', 'Grader']",RA
Chelsea Becker,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Samuel Diaz,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Samuel Diaz,Nicole Payne,0.0,['TA'],Grader
Ryan Collins Jr.,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Ryan Collins Jr.,Nicole Payne,0.0,['TA'],Grader
Angela Johnson,Nicole Payne,0.0,['TA'],RA
Vickie Moran,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
Vickie Moran,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Vickie Moran,Steven Parker,0.0,"['Grader', 'TA']",RA
Michael Johnson,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Michael Johnson,Nicole Payne,0.0,['TA'],Grader
Michael Johnson,Ashley Washington,0.0,['TA'],Grader
Michael Johnson,Christopher Smith,0.0,"['RA', 'TA']",Grader
Samuel Diaz,Ashley Washington,0.0,['TA'],Grader
Peter Smith,Nicole Payne,0.0,['TA'],Grader
Tonya Garcia,Nicole Payne,0.0,['TA'],RA
Tonya Garcia,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Tonya Garcia,Steven Parker,0.0,"['Grader', 'TA']",RA
Dakota Jefferson,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Dakota Jefferson,Nicole Payne,0.0,['TA'],Grader
Miguel Brown,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Miguel Brown,Nicole Payne,0.0,['TA'],Grader
Miguel Brown,Ashley Washington,0.0,['TA'],Grader
Miguel Brown,Christopher Smith,0.0,"['RA', 'TA']",Grader
Kevin Castaneda DDS,Christopher Lee DVM,0.0,"['TA', 'RA']",Grader
Kevin Castaneda DDS,Nicole Payne,0.0,['TA'],Grader
Kevin Castaneda DDS,Ashley Washington,0.0,['TA'],Grader
Juan Burke,Beth Taylor,0.0,"['RA', 'Grader']",TA
Chelsea Becker,Nicole Payne,0.0,['TA'],RA
Chelsea Becker,Michael Matthews,0.0,['Grader'],RA
Joseph Bush,Beth Taylor,0.0,"['RA', 'Grader']",TA
Manuel Heath,Ashley Washington,0.0,['TA'],RA
Lisa Stone,Christopher Smith,0.0,"['RA', 'TA']",Grader
Lisa Stone,Ashley Washington,0.0,['TA'],Grader
Peter Smith,Christopher Smith,0.0,"['RA', 'TA']",Grader
Ryan Mathews,Nicole Payne,0.0,['TA'],RA
Lisa Stone,Nicole Payne,0.0,['TA'],Grader
Ryan Mathews,Ashley Washington,0.0,['TA'],RA
Ryan Mathews,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
David Lara,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Ashley Cooper,Nicole Payne,0.0,['TA'],RA
Manuel Heath,Nicole Payne,0.0,['TA'],RA
Manuel Heath,Jessica Wood,0.0,"['TA', 'Grader']",RA
Peter Taylor,Nicole Payne,0.0,['TA'],RA
Peter Taylor,Michael Matthews,0.0,['Grader'],RA
Peter Taylor,Ashley Washington,0.0,['TA'],RA
Brooke Case,Kimberly Friedman,0.0,"['TA', 'Grader']",RA
Brooke Case,Jessica Wood,0.0,"['TA', 'Grader']",RA
Brooke Case,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Brooke Case,Steven Parker,0.0,"['Grader', 'TA']",RA
Colleen Thomas PhD,Nicole Payne,0.0,['TA'],RA
Colleen Thomas PhD,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Deanna Nielsen,Ashley Washington,0.0,['TA'],Grader
Deanna Nielsen,Christopher Smith,0.0,"['RA', 'TA']",Grader
Jamie Hoffman,Michael Matthews,0.0,['Grader'],TA
Ryan Mathews,Jessica Wood,0.0,"['TA', 'Grader']",RA
Ryan Mathews,Chelsea Wallace,0.0,"['Grader', 'TA']",RA
Timothy Holland,Ashley Washington,0.0,['TA'],Grader
Timothy Holland,Christopher Smith,0.0,"['RA', 'TA']",Grader
Amber George,Beth Taylor,0.0,"['RA', 'Grader']",TA
Russell Mason,Beth Taylor,0.0,"['RA', 'Grader']",TA
Joseph Bush,Michael Matthews,0.0,['Grader'],TA
Deanna Nielsen,Diana Parker,0.68,"['Grader', 'TA']",Grader
Antonio Ramirez MD,Diana Parker,0.68,"['Grader', 'TA']",Grader
Carl Jordan,Diana Parker,0.6,"['Grader', 'TA']",Grader
Tara Ayers,Diana Parker,0.6,"['Grader', 'TA']",TA
Dana White,Diana Parker,0.6,"['Grader', 'TA']",Grader
Todd Bowen,Diana Parker,0.6,"['Grader', 'TA']",Grader
Daniel Webb,Diana Parker,0.6,"['Grader', 'TA']",Grader
Amanda Jackson,Diana Parker,0.6,"['Grader', 'TA']",Grader
Alice Young,Diana Parker,0.6,"['Grader', 'TA']",TA
Jason Duncan MD,Diana Parker,0.48,"['Grader', 'TA']",RA
Brett Williams,Diana Parker,0.48,"['Grader', 'TA']",RA
Juan Burke,Adrienne Miles,0.46,"['RA', 'TA']",TA
David Gardner,Adrienne Miles,0.46,"['RA', 'TA']",RA
Pamela Baxter,Joshua Ross,0.44,['TA'],TA
David Lara,Marie Wilkinson,0.44,['RA'],RA
Diana Ross,Marie Wilkinson,0.44,['RA'],RA
Amanda Jackson,Roberto Delgado,0.41,"['RA', 'Grader']",Grader
Deanna Nielsen,Roberto Delgado,0.41,"['RA', 'Grader']",Grader
Gregory Martin,Diana Parker,0.4,"['Grader', 'TA']",RA
Clinton Howard,Adrienne Miles,0.4,"['RA', 'TA']",TA
Barbara Fry,Adrienne Miles,0.4,"['RA', 'TA']",TA
Cynthia Jensen,Adrienne Miles,0.4,"['RA', 'TA']",TA
Brian Santiago,Adrienne Miles,0.4,"['RA', 'TA']",RA
Jonathan Ballard,Adrienne Miles,0.37,"['RA', 'TA']",Grader
Austin Landry DDS,Alan Butler,0.36,"['TA', 'Grader']",Grader
Carol Perkins,Marie Wilkinson,0.36,['RA'],RA
Jacqueline Sullivan,Marie Wilkinson,0.36,['RA'],RA
Christopher Ferguson,Joshua Ross,0.36,['TA'],TA
Jacqueline Sullivan,Roberto Delgado,0.36,"['RA', 'Grader']",RA
Christopher Ferguson,Diana Parker,0.36,"['Grader', 'TA']",TA
Christopher Ferguson,Alan Butler,0.36,"['TA', 'Grader']",TA
April George,Marie Wilkinson,0.36,['RA'],RA
Mr. Walter Henson DDS,Alan Butler,0.36,"['TA', 'Grader']",TA
Renee Walker,Marie Wilkinson,0.36,['RA'],RA
David Lara,Roberto Delgado,0.36,"['RA', 'Grader']",RA
Travis Collins,Diana Parker,0.36,"['Grader', 'TA']",TA
Harold Rogers,Diana Parker,0.36,"['Grader', 'TA']",TA
Harold Rogers,Alan Butler,0.36,"['TA', 'Grader']",TA
Alexandria Owens,Alan Butler,0.36,"['TA', 'Grader']",Grader
Pamela Baxter,Alan Butler,0.36,"['TA', 'Grader']",TA
Diana Ross,Roberto Delgado,0.36,"['RA', 'Grader']",RA
Jonathan Ballard,Roberto Delgado,0.36,"['RA', 'Grader']",Grader
Samantha Gonzales,Alan Butler,0.36,"['TA', 'Grader']",TA
Joseph Smith,Diana Parker,0.36,"['Grader', 'TA']",Grader
Joseph Smith,Alan Butler,0.36,"['TA', 'Grader']",Grader
Chad Oconnell,Marie Wilkinson,0.36,['RA'],RA
Sandra Gomez MD,Alan Butler,0.36,"['TA', 'Grader']",TA
Douglas Rhodes,Alan Butler,0.36,"['TA', 'Grader']",Grader
Patrick Freeman,Marie Wilkinson,0.36,['RA'],RA
Christopher Little,Roberto Delgado,0.36,"['RA', 'Grader']",RA
Christopher Little,Marie Wilkinson,0.36,['RA'],RA
Jonathan Ballard,Alan Butler,0.36,"['TA', 'Grader']",Grader
Jesse Ruiz,Marie Wilkinson,0.36,['RA'],RA
Richard Cantu,Alan Butler,0.36,"['TA', 'Grader']",Grader
Kristen Clay,Marie Wilkinson,0.36,['RA'],RA
Joshua Mooney,Roberto Delgado,0.36,"['RA', 'Grader']",Grader
Joshua Mooney,Alan Butler,0.36,"['TA', 'Grader']",Grader
Ryan Freeman,Alan Butler,0.36,"['TA', 'Grader']",TA
David Brock,Alan Butler,0.36,"['TA', 'Grader']",Grader
Harold Rogers,Joshua Ross,0.36,['TA'],TA
Peter Taylor,Marie Wilkinson,0.36,['RA'],RA
Todd Bowen,Roberto Delgado,0.33,"['RA', 'Grader']",Grader
Gregory Martin,Roberto Delgado,0.33,"['RA', 'Grader']",RA
Dana White,Roberto Delgado,0.33,"['RA', 'Grader']",Grader
Tara Ayers,Jessica Davis,0.33,['TA'],TA
Alice Young,Jessica Davis,0.33,['TA'],TA
Carl Jordan,Roberto Delgado,0.33,"['RA', 'Grader']",Grader
Jason Duncan MD,Roberto Delgado,0.33,"['RA', 'Grader']",RA
Brett Williams,Roberto Delgado,0.33,"['RA', 'Grader']",RA
Daniel Webb,Roberto Delgado,0.33,"['RA', 'Grader']",Grader
Antonio Ramirez MD,Roberto Delgado,0.33,"['RA', 'Grader']",Grader
Pamela Baxter,Marie Wilkinson,0.32,['RA'],TA
Patrick Freeman,Adrienne Miles,0.31,"['RA', 'TA']",RA
Christopher Little,Jennifer Harper,0.31,['RA'],RA
Christopher Little,Adrienne Miles,0.31,"['RA', 'TA']",RA
Alfred Estrada,Adrienne Miles,0.31,"['RA', 'TA']",RA
Bonnie Edwards,Adrienne Miles,0.31,"['RA', 'TA']",RA
David Lara,Jennifer Harper,0.31,['RA'],RA
David Lara,Adrienne Miles,0.31,"['RA', 'TA']",RA
Allison Moore,Adrienne Miles,0.31,"['RA', 'TA']",RA
Veronica Reynolds,Adrienne Miles,0.31,"['RA', 'TA']",RA
Mr. Walter Henson DDS,Adrienne Miles,0.31,"['RA', 'TA']",TA
Laura Moore,Adrienne Miles,0.31,"['RA', 'TA']",TA
Samantha Gonzales,Adrienne Miles,0.31,"['RA', 'TA']",TA
Sandra Gomez MD,Adrienne Miles,0.31,"['RA', 'TA']",TA
Dustin Lowe,Adrienne Miles,0.31,"['RA', 'TA']",TA
Diana Ross,Jennifer Harper,0.31,['RA'],RA
Tammy Wyatt,Adrienne Miles,0.31,"['RA', 'TA']",TA
Joshua Clark,Adrienne Miles,0.31,"['RA', 'TA']",RA
Pamela Baxter,Adrienne Miles,0.31,"['RA', 'TA']",TA
Kimberly Monroe,Adrienne Miles,0.31,"['RA', 'TA']",RA
Kristie Rose,Adrienne Miles,0.31,"['RA', 'TA']",RA
Harold Rogers,Adrienne Miles,0.31,"['RA', 'TA']",TA
Christopher Russell,Adrienne Miles,0.31,"['RA', 'TA']",RA
Ryan Freeman,Adrienne Miles,0.31,"['RA', 'TA']",TA
Steven Patel,Adrienne Miles,0.31,"['RA', 'TA']",RA
Crystal Cooper,Adrienne Miles,0.31,"['RA', 'TA']",TA
Jacqueline Sullivan,Jennifer Harper,0.31,['RA'],RA
Matthew Mckinney,Alan Butler,0.28,"['TA', 'Grader']",TA
Chad Oconnell,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Dustin Lowe,Alan Butler,0.28,"['TA', 'Grader']",TA
Rebecca Peterson,Marie Wilkinson,0.28,['RA'],RA
Joseph Smith,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Richard Cantu,Michael Soto,0.28,['Grader'],Grader
David Rush,Diana Parker,0.28,"['Grader', 'TA']",TA
Jonathan Ballard,Diana Parker,0.28,"['Grader', 'TA']",Grader
Jonathan Ballard,Michael Soto,0.28,['Grader'],Grader
Brian Austin,Joshua Ross,0.28,['TA'],TA
Nicole Byrd,Marie Wilkinson,0.28,['RA'],RA
Elizabeth Burns,Marie Wilkinson,0.28,['RA'],RA
Stephanie Jones,Diana Parker,0.28,"['Grader', 'TA']",TA
Christopher Ferguson,Jessica Davis,0.28,['TA'],TA
Angel Thornton DVM,Alan Butler,0.28,"['TA', 'Grader']",Grader
Kevin Castaneda DDS,Michael Soto,0.28,['Grader'],Grader
Andrea Roy,Alan Butler,0.28,"['TA', 'Grader']",Grader
Andrea Roy,Michael Soto,0.28,['Grader'],Grader
Emily Chang,Joshua Ross,0.28,['TA'],TA
Terry Harris,Marie Wilkinson,0.28,['RA'],RA
Katherine Burgess,Marie Wilkinson,0.28,['RA'],RA
Andrew Wood,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Carol Perkins,Roberto Delgado,0.28,"['RA', 'Grader']",RA
David Brock,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Samantha Gonzales,Diana Parker,0.28,"['Grader', 'TA']",TA
Samantha Gonzales,Joshua Ross,0.28,['TA'],TA
David Brock,Michael Soto,0.28,['Grader'],Grader
Nicole Davis,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Maria Carroll,Marie Wilkinson,0.28,['RA'],RA
Erin Sloan,Marie Wilkinson,0.28,['RA'],RA
Colleen Thomas PhD,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Brooke Case,Marie Wilkinson,0.28,['RA'],RA
Chad Arroyo,Alan Butler,0.28,"['TA', 'Grader']",Grader
Nicole Davis,Marie Wilkinson,0.28,['RA'],RA
David Brock,Diana Parker,0.28,"['Grader', 'TA']",Grader
Sandra Gomez MD,Diana Parker,0.28,"['Grader', 'TA']",TA
Sandra Gomez MD,Joshua Ross,0.28,['TA'],TA
Randy Thomas,Alan Butler,0.28,"['TA', 'Grader']",Grader
Randy Thomas,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Colleen Thomas PhD,Marie Wilkinson,0.28,['RA'],RA
Chelsea Bailey,Alan Butler,0.28,"['TA', 'Grader']",Grader
Kimberly White,Marie Wilkinson,0.28,['RA'],RA
Todd Bowen,Michael Soto,0.28,['Grader'],Grader
Jeffrey Watson,Diana Parker,0.28,"['Grader', 'TA']",Grader
Douglas Rhodes,Michael Soto,0.28,['Grader'],Grader
Ryan Freeman,Diana Parker,0.28,"['Grader', 'TA']",TA
Mark Prince,Diana Parker,0.28,"['Grader', 'TA']",TA
Marissa White,Diana Parker,0.28,"['Grader', 'TA']",Grader
Todd Bowen,Alan Butler,0.28,"['TA', 'Grader']",Grader
Juan Burke,Diana Parker,0.28,"['Grader', 'TA']",TA
Jesse Ruiz,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Travis Collins,Alan Butler,0.28,"['TA', 'Grader']",TA
Shannon Allen,Marie Wilkinson,0.28,['RA'],RA
Travis Collins,Joshua Ross,0.28,['TA'],TA
David Mills,Alan Butler,0.28,"['TA', 'Grader']",TA
David Mills,Diana Parker,0.28,"['Grader', 'TA']",TA
David Mills,Joshua Ross,0.28,['TA'],TA
Dakota Jefferson,Alan Butler,0.28,"['TA', 'Grader']",Grader
Peter Smith,Alan Butler,0.28,"['TA', 'Grader']",Grader
Kristie Rose,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Crystal Cooper,Alan Butler,0.28,"['TA', 'Grader']",TA
Tammy Wyatt,Alan Butler,0.28,"['TA', 'Grader']",TA
Jorge Vasquez,Alan Butler,0.28,"['TA', 'Grader']",Grader
Penny Walsh,Marie Wilkinson,0.28,['RA'],RA
Maria Wu,Marie Wilkinson,0.28,['RA'],RA
Miguel Brown,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
James Carter,Marie Wilkinson,0.28,['RA'],RA
Barbara Fry,Joshua Ross,0.28,['TA'],TA
Alice Young,Alan Butler,0.28,"['TA', 'Grader']",TA
Barbara Fry,Diana Parker,0.28,"['Grader', 'TA']",TA
Kristie Rose,Marie Wilkinson,0.28,['RA'],RA
Kara Foster,Diana Parker,0.28,"['Grader', 'TA']",Grader
Dana White,Alan Butler,0.28,"['TA', 'Grader']",Grader
Ryan Freeman,Joshua Ross,0.28,['TA'],TA
Joshua Mooney,Diana Parker,0.28,"['Grader', 'TA']",Grader
Pamela Baxter,Diana Parker,0.28,"['Grader', 'TA']",TA
Joshua Mooney,Michael Soto,0.28,['Grader'],Grader
David Wolfe,Diana Parker,0.28,"['Grader', 'TA']",Grader
Alexandria Owens,Diana Parker,0.28,"['Grader', 'TA']",Grader
Alexandria Owens,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Paige Rivera MD,Marie Wilkinson,0.28,['RA'],RA
Kimberly Reese MD,Marie Wilkinson,0.28,['RA'],RA
Austin Landry DDS,Diana Parker,0.28,"['Grader', 'TA']",Grader
Kevin Castaneda DDS,Alan Butler,0.28,"['TA', 'Grader']",Grader
Mr. Walter Henson DDS,Diana Parker,0.28,"['Grader', 'TA']",TA
Mr. Walter Henson DDS,Joshua Ross,0.28,['TA'],TA
Larry Briggs,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Scott Summers,Alan Butler,0.28,"['TA', 'Grader']",Grader
Scott Summers,Michael Soto,0.28,['Grader'],Grader
Angela Salazar,Alan Butler,0.28,"['TA', 'Grader']",TA
Angela Salazar,Diana Parker,0.28,"['Grader', 'TA']",TA
Dr. Gabrielle King,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Jennifer Miller,Marie Wilkinson,0.28,['RA'],RA
Gregory Collins,Diana Parker,0.28,"['Grader', 'TA']",TA
Richard Butler,Marie Wilkinson,0.28,['RA'],RA
Richard Butler,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Peter Taylor,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Marc Martin,Joshua Ross,0.28,['TA'],TA
Russell Mason,Alan Butler,0.28,"['TA', 'Grader']",TA
Russell Mason,Joshua Ross,0.28,['TA'],TA
Ashley Cooper,Marie Wilkinson,0.28,['RA'],RA
Angela Salazar,Joshua Ross,0.28,['TA'],TA
Brett Williams,Marie Wilkinson,0.28,['RA'],RA
Steven Rivera,Marie Wilkinson,0.28,['RA'],RA
Bonnie Edwards,Marie Wilkinson,0.28,['RA'],RA
Bonnie Edwards,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Peggy Chavez,Alan Butler,0.28,"['TA', 'Grader']",Grader
Peggy Chavez,Michael Soto,0.28,['Grader'],Grader
Michael Orozco,Alan Butler,0.28,"['TA', 'Grader']",Grader
Steven Patel,Marie Wilkinson,0.28,['RA'],RA
Paul Rogers,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Austin Landry DDS,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Kristine Fox,Michael Soto,0.28,['Grader'],Grader
Steven Rivera,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Michael Martinez,Joshua Ross,0.28,['TA'],TA
Sabrina Sullivan,Marie Wilkinson,0.28,['RA'],RA
Sabrina Sullivan,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Austin Landry DDS,Michael Soto,0.28,['Grader'],Grader
Michael Hayes,Alan Butler,0.28,"['TA', 'Grader']",Grader
Melinda Fowler,Alan Butler,0.28,"['TA', 'Grader']",TA
Larry Briggs,Alan Butler,0.28,"['TA', 'Grader']",Grader
Larry Briggs,Diana Parker,0.28,"['Grader', 'TA']",Grader
Kristine Fox,Alan Butler,0.28,"['TA', 'Grader']",Grader
Christopher Lin,Michael Soto,0.28,['Grader'],Grader
Patrick Freeman,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Jennifer Lambert,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Patrick Johnson,Marie Wilkinson,0.28,['RA'],RA
Natasha Keller,Joshua Ross,0.28,['TA'],TA
Dylan Castillo,Alan Butler,0.28,"['TA', 'Grader']",Grader
Dylan Castillo,Diana Parker,0.28,"['Grader', 'TA']",Grader
Dylan Castillo,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Maria Carroll,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Michael Fisher,Marie Wilkinson,0.28,['RA'],RA
Christopher Lin,Alan Butler,0.28,"['TA', 'Grader']",Grader
Tara Ayers,Alan Butler,0.28,"['TA', 'Grader']",TA
Martin Valencia,Diana Parker,0.28,"['Grader', 'TA']",TA
Timothy Holland,Diana Parker,0.28,"['Grader', 'TA']",Grader
Andrew Wood,Alan Butler,0.28,"['TA', 'Grader']",Grader
Andrew Wood,Diana Parker,0.28,"['Grader', 'TA']",Grader
Lisa Mills,Marie Wilkinson,0.28,['RA'],RA
Lisa Mills,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Caitlyn Nelson,Joshua Ross,0.28,['TA'],TA
Dr. Gabrielle King,Marie Wilkinson,0.28,['RA'],RA
Gregory Martin,Marie Wilkinson,0.28,['RA'],RA
Charles Jackson,Roberto Delgado,0.28,"['RA', 'Grader']",Grader
Anna Scott,Alan Butler,0.28,"['TA', 'Grader']",TA
Jason Melton,Marie Wilkinson,0.28,['RA'],RA
Joseph Bush,Diana Parker,0.28,"['Grader', 'TA']",TA
Vickie Moran,Marie Wilkinson,0.28,['RA'],RA
Jacqueline Lopez,Alan Butler,0.28,"['TA', 'Grader']",Grader
Alfred Estrada,Marie Wilkinson,0.28,['RA'],RA
Alfred Estrada,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Alex Sloan,Marie Wilkinson,0.28,['RA'],RA
Tabitha Cunningham,Alan Butler,0.28,"['TA', 'Grader']",TA
Laura Moore,Alan Butler,0.28,"['TA', 'Grader']",TA
Angela Johnson,Marie Wilkinson,0.28,['RA'],RA
Melissa Escobar,Marie Wilkinson,0.28,['RA'],RA
Alexandria Shields,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Tabitha Cunningham,Joshua Ross,0.28,['TA'],TA
Tabitha Cunningham,Diana Parker,0.28,"['Grader', 'TA']",TA
Alexandria Shields,Marie Wilkinson,0.28,['RA'],RA
Laura Gray,Alan Butler,0.28,"['TA', 'Grader']",TA
Angela Johnson,Roberto Delgado,0.28,"['RA', 'Grader']",RA
Ryan Collins Jr.,Alan Butler,0.28,"['TA', 'Grader']",Grader
Kurt Brandt,Alan Butler,0.28,"['TA', 'Grader']",Grader
Amber George,Adrienne Miles,0.26,"['RA', 'TA']",TA
Ryan Mathews,Adrienne Miles,0.26,"['RA', 'TA']",RA
Tonya Garcia,Adrienne Miles,0.26,"['RA', 'TA']",RA
David Mills,Adrienne Miles,0.26,"['RA', 'TA']",TA
Travis Collins,Adrienne Miles,0.26,"['RA', 'TA']",TA
Michael Bautista,Adrienne Miles,0.26,"['RA', 'TA']",TA
Manuel Heath,Adrienne Miles,0.26,"['RA', 'TA']",RA
Kristie Rose,Tony Singh,0.26,['RA'],RA
Kristie Rose,Jennifer Harper,0.26,['RA'],RA
Diana Ross,Adrienne Miles,0.26,"['RA', 'TA']",RA
Shannon Allen,Adrienne Miles,0.26,"['RA', 'TA']",RA
Alice Young,Adrienne Miles,0.26,"['RA', 'TA']",TA
Shawn Walker,Adrienne Miles,0.26,"['RA', 'TA']",TA
Andrea Roy,Adrienne Miles,0.26,"['RA', 'TA']",Grader
Diana Ross,Tony Singh,0.26,['RA'],RA
Dr. Gabrielle King,Jennifer Harper,0.26,['RA'],RA
Dr. Gabrielle King,Adrienne Miles,0.26,"['RA', 'TA']",RA
Chad Oconnell,Jennifer Harper,0.26,['RA'],RA
Brian Austin,Adrienne Miles,0.26,"['RA', 'TA']",TA
Anita Haney,Adrienne Miles,0.26,"['RA', 'TA']",TA
Anthony Hoover,Adrienne Miles,0.26,"['RA', 'TA']",TA
Joseph Harmon,Adrienne Miles,0.26,"['RA', 'TA']",RA
Maria Carroll,Tony Singh,0.26,['RA'],RA
Maria Carroll,Jennifer Harper,0.26,['RA'],RA
Maria Carroll,Adrienne Miles,0.26,"['RA', 'TA']",RA
Elizabeth Burns,Adrienne Miles,0.26,"['RA', 'TA']",RA
Katherine Burgess,Adrienne Miles,0.26,"['RA', 'TA']",RA
Lisa Mills,Tony Singh,0.26,['RA'],RA
Lisa Mills,Jennifer Harper,0.26,['RA'],RA
Lisa Mills,Adrienne Miles,0.26,"['RA', 'TA']",RA
Gregory Martin,Adrienne Miles,0.26,"['RA', 'TA']",RA
Colleen Thomas PhD,Jennifer Harper,0.26,['RA'],RA
Colleen Thomas PhD,Adrienne Miles,0.26,"['RA', 'TA']",RA
Brandon Ruiz,Adrienne Miles,0.26,"['RA', 'TA']",TA
Patrick Johnson,Adrienne Miles,0.26,"['RA', 'TA']",RA
Natasha Keller,Adrienne Miles,0.26,"['RA', 'TA']",TA
Patrick Freeman,Tony Singh,0.26,['RA'],RA
Patrick Freeman,Jennifer Harper,0.26,['RA'],RA
